Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,Emory University,Facebook,15,0.319
What social platform has influenced your online shopping most?,University,Emory University,Instagram,14,0.298
What social platform has influenced your online shopping most?,University,Emory University,Snapchat,2,0.043
What social platform has influenced your online shopping most?,University,Emory University,Twitter,1,0.021
What social platform has influenced your online shopping most?,University,Emory University,None,15,0.319
What social platform has influenced your online shopping most?,University,University of Richmond,Facebook,3,0.6
What social platform has influenced your online shopping most?,University,University of Richmond,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,None,2,0.4
What social platform has influenced your online shopping most?,University,University of British Columbia,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of British Columbia,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,None,2,0.667
What social platform has influenced your online shopping most?,University,Colby College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Colby College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,None,0,0.0
What social platform has influenced your online shopping most?,University,Bates College,Facebook,8,0.17
What social platform has influenced your online shopping most?,University,Bates College,Instagram,18,0.383
What social platform has influenced your online shopping most?,University,Bates College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Bates College,Twitter,4,0.085
What social platform has influenced your online shopping most?,University,Bates College,None,17,0.362
What social platform has influenced your online shopping most?,University,"Westport, CT",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",None,0,0.0
What social platform has influenced your online shopping most?,University,Whitman College,Facebook,5,0.227
What social platform has influenced your online shopping most?,University,Whitman College,Instagram,5,0.227
What social platform has influenced your online shopping most?,University,Whitman College,Snapchat,3,0.136
What social platform has influenced your online shopping most?,University,Whitman College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Whitman College,None,9,0.409
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Central Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Montana ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana ,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Montana ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana ,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,None,1,1.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,None,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Facebook,4,0.4
What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.3
What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,None,3,0.3
What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,None,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,None,1,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,None,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.2
What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,1,0.2
What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,None,3,0.6
What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,None,1,0.333
What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,None,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,None,2,0.667
What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,5,0.172
What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,9,0.31
What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.103
What social platform has influenced your online shopping most?,University,Appalachian State University,None,12,0.414
What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,None,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,0.5
What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,None,1,0.5
What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667
What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,None,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,None,2,0.667
What social platform has influenced your online shopping most?,University,College of William and Mary,Facebook,25,0.287
What social platform has influenced your online shopping most?,University,College of William and Mary,Instagram,25,0.287
What social platform has influenced your online shopping most?,University,College of William and Mary,Snapchat,5,0.057
What social platform has influenced your online shopping most?,University,College of William and Mary,Twitter,2,0.023
What social platform has influenced your online shopping most?,University,College of William and Mary,None,30,0.345
What social platform has influenced your online shopping most?,University,Ohio State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio State University,None,4,1.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Cal Poly San Luis Obispo,None,2,1.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Oklahoma State University ,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,Facebook,13,0.342
What social platform has influenced your online shopping most?,University,University of Texas,Instagram,11,0.289
What social platform has influenced your online shopping most?,University,University of Texas,Snapchat,1,0.026
What social platform has influenced your online shopping most?,University,University of Texas,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Texas,None,13,0.342
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Hampden-Sydney College ,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Arizona,Facebook,8,0.157
What social platform has influenced your online shopping most?,University,University of Arizona,Instagram,27,0.529
What social platform has influenced your online shopping most?,University,University of Arizona,Snapchat,2,0.039
What social platform has influenced your online shopping most?,University,University of Arizona,Twitter,5,0.098
What social platform has influenced your online shopping most?,University,University of Arizona,None,9,0.176
What social platform has influenced your online shopping most?,University,Coventry University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Coventry University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Coventry University,None,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Snapchat,2,0.667
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Rochester Institute of Technology,None,1,0.333
What social platform has influenced your online shopping most?,University,Colgate University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colgate University,None,2,1.0
What social platform has influenced your online shopping most?,University,Northwestern University,Facebook,30,0.261
What social platform has influenced your online shopping most?,University,Northwestern University,Instagram,47,0.409
What social platform has influenced your online shopping most?,University,Northwestern University,Snapchat,4,0.035
What social platform has influenced your online shopping most?,University,Northwestern University,Twitter,4,0.035
What social platform has influenced your online shopping most?,University,Northwestern University,None,30,0.261
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Saginaw Valley State University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Michigan,Facebook,12,0.231
What social platform has influenced your online shopping most?,University,University of Michigan,Instagram,16,0.308
What social platform has influenced your online shopping most?,University,University of Michigan,Snapchat,1,0.019
What social platform has influenced your online shopping most?,University,University of Michigan,Twitter,2,0.038
What social platform has influenced your online shopping most?,University,University of Michigan,None,21,0.404
What social platform has influenced your online shopping most?,University,Boise State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Boise State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Boise State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Cornell University,Facebook,35,0.287
What social platform has influenced your online shopping most?,University,Cornell University,Instagram,44,0.361
What social platform has influenced your online shopping most?,University,Cornell University,Snapchat,4,0.033
What social platform has influenced your online shopping most?,University,Cornell University,Twitter,1,0.008
What social platform has influenced your online shopping most?,University,Cornell University,None,38,0.311
What social platform has influenced your online shopping most?,University,University of New Hampshire,Facebook,3,0.429
What social platform has influenced your online shopping most?,University,University of New Hampshire,Instagram,2,0.286
What social platform has influenced your online shopping most?,University,University of New Hampshire,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of New Hampshire,Twitter,1,0.143
What social platform has influenced your online shopping most?,University,University of New Hampshire,None,1,0.143
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,UMass Dartmouth,None,2,1.0
What social platform has influenced your online shopping most?,University,High Point University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,High Point University,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Instagram,2,0.5
What social platform has influenced your online shopping most?,University,University of Minnesota,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Minnesota,None,2,0.5
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Facebook,14,0.187
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Instagram,32,0.427
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Snapchat,1,0.013
What social platform has influenced your online shopping most?,University,Claremont McKenna College,Twitter,5,0.067
What social platform has influenced your online shopping most?,University,Claremont McKenna College,None,23,0.307
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Oklahoma,None,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Illinois State,Instagram,1,0.083
What social platform has influenced your online shopping most?,University,Illinois State,Snapchat,1,0.083
What social platform has influenced your online shopping most?,University,Illinois State,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Illinois State,None,7,0.583
What social platform has influenced your online shopping most?,University,University of Guelph,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,University of Guelph,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Guelph,None,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Queens University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Queens University,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Colorado Boulder,None,2,0.667
What social platform has influenced your online shopping most?,University,University of Virginia,Facebook,64,0.25
What social platform has influenced your online shopping most?,University,University of Virginia,Instagram,75,0.293
What social platform has influenced your online shopping most?,University,University of Virginia,Snapchat,10,0.039
What social platform has influenced your online shopping most?,University,University of Virginia,Twitter,12,0.047
What social platform has influenced your online shopping most?,University,University of Virginia,None,95,0.371
What social platform has influenced your online shopping most?,University,Villanova University,Facebook,2,1.0
What social platform has influenced your online shopping most?,University,Villanova University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Villanova University,None,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Centre College,None,2,1.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Facebook,3,0.25
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Instagram,1,0.083
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Johns Hopkins University,Twitter,1,0.083
What social platform has influenced your online shopping most?,University,Johns Hopkins University,None,7,0.583
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Facebook,26,0.252
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Instagram,35,0.34
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Snapchat,1,0.01
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,Twitter,7,0.068
What social platform has influenced your online shopping most?,University,University of Wisconsin-Madison,None,34,0.33
What social platform has influenced your online shopping most?,University,Dartmouth College,Facebook,7,0.412
What social platform has influenced your online shopping most?,University,Dartmouth College,Instagram,1,0.059
What social platform has influenced your online shopping most?,University,Dartmouth College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Dartmouth College,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Dartmouth College,None,8,0.471
What social platform has influenced your online shopping most?,University,Purdue University,Facebook,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,Instagram,2,0.118
What social platform has influenced your online shopping most?,University,Purdue University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Purdue University,Twitter,1,0.059
What social platform has influenced your online shopping most?,University,Purdue University,None,13,0.765
What social platform has influenced your online shopping most?,University,San Diego State University,Facebook,24,0.142
What social platform has influenced your online shopping most?,University,San Diego State University,Instagram,84,0.497
What social platform has influenced your online shopping most?,University,San Diego State University,Snapchat,4,0.024
What social platform has influenced your online shopping most?,University,San Diego State University,Twitter,13,0.077
What social platform has influenced your online shopping most?,University,San Diego State University,None,44,0.26
What social platform has influenced your online shopping most?,University,Michigan State University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Michigan State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Michigan State University,None,1,0.5
What social platform has influenced your online shopping most?,University,Butler University,Facebook,9,0.273
What social platform has influenced your online shopping most?,University,Butler University,Instagram,13,0.394
What social platform has influenced your online shopping most?,University,Butler University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Butler University,Twitter,5,0.152
What social platform has influenced your online shopping most?,University,Butler University,None,6,0.182
What social platform has influenced your online shopping most?,University,Indiana University,Facebook,18,0.225
What social platform has influenced your online shopping most?,University,Indiana University,Instagram,24,0.3
What social platform has influenced your online shopping most?,University,Indiana University,Snapchat,4,0.05
What social platform has influenced your online shopping most?,University,Indiana University,Twitter,10,0.125
What social platform has influenced your online shopping most?,University,Indiana University,None,24,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Facebook,12,0.3
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Instagram,11,0.275
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Snapchat,1,0.025
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",Twitter,1,0.025
What social platform has influenced your online shopping most?,University,"University of California, Berkeley",None,15,0.375
What social platform has influenced your online shopping most?,University,University of Missouri,Facebook,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,Instagram,3,0.125
What social platform has influenced your online shopping most?,University,University of Missouri,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Missouri,Twitter,4,0.167
What social platform has influenced your online shopping most?,University,University of Missouri,None,13,0.542
What social platform has influenced your online shopping most?,University,Texas Christian University,Facebook,5,0.217
What social platform has influenced your online shopping most?,University,Texas Christian University,Instagram,8,0.348
What social platform has influenced your online shopping most?,University,Texas Christian University,Snapchat,1,0.043
What social platform has influenced your online shopping most?,University,Texas Christian University,Twitter,3,0.13
What social platform has influenced your online shopping most?,University,Texas Christian University,None,6,0.261
What social platform has influenced your online shopping most?,University,Truman State University,Facebook,18,0.36
What social platform has influenced your online shopping most?,University,Truman State University,Instagram,15,0.3
What social platform has influenced your online shopping most?,University,Truman State University,Snapchat,1,0.02
What social platform has influenced your online shopping most?,University,Truman State University,Twitter,2,0.04
What social platform has influenced your online shopping most?,University,Truman State University,None,14,0.28
What social platform has influenced your online shopping most?,University,University of Illinois,Facebook,18,0.209
What social platform has influenced your online shopping most?,University,University of Illinois,Instagram,24,0.279
What social platform has influenced your online shopping most?,University,University of Illinois,Snapchat,3,0.035
What social platform has influenced your online shopping most?,University,University of Illinois,Twitter,7,0.081
What social platform has influenced your online shopping most?,University,University of Illinois,None,34,0.395
What social platform has influenced your online shopping most?,University,University of Washington,Facebook,12,0.245
What social platform has influenced your online shopping most?,University,University of Washington,Instagram,19,0.388
What social platform has influenced your online shopping most?,University,University of Washington,Snapchat,1,0.02
What social platform has influenced your online shopping most?,University,University of Washington,Twitter,2,0.041
What social platform has influenced your online shopping most?,University,University of Washington,None,15,0.306
What social platform has influenced your online shopping most?,University,University of North Carolina,Facebook,14,0.241
What social platform has influenced your online shopping most?,University,University of North Carolina,Instagram,16,0.276
What social platform has influenced your online shopping most?,University,University of North Carolina,Snapchat,2,0.034
What social platform has influenced your online shopping most?,University,University of North Carolina,Twitter,5,0.086
What social platform has influenced your online shopping most?,University,University of North Carolina,None,21,0.362
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Facebook,4,0.222
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Instagram,7,0.389
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Miami University (Ohio),Twitter,2,0.111
What social platform has influenced your online shopping most?,University,Miami University (Ohio),None,5,0.278
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"University of California, Los Angeles",Snapchat,0,0.0
